keyword,type,author,handle,bio,text,date,sentiment,score
Greenhouse Effect,original,Yvette Cendes,whereisyvette.bsky.social,,"New video from my astronomy lecture series!  All about the Earth's atmosphere- how it came to form to its current composition, the greenhouse effect, and climate change.

youtu.be/DnhPm73Reho",2025-11-20,neutral,0.08522727272727272
Greenhouse Effect,original,Stefan E. Jones,stefanejones.bsky.social,,"The first time I heard Beethoven's ""Pastoral"" was in the eco-catastrophe movie ""Soylent Green."" (In the theater, age 13, 1973!)

It is a beautiful piece,  but the scene it was used in is utterly heartbreaking, and more so as time goes on.

(That film mentions the Greenhouse Effect!)",2025-11-19,positive,0.29500000000000004
Greenhouse Effect,original,Tater,goldenretrieverear.bsky.social,,"""...will go into effect in 365 days.""
Good.  That will give me time to finish my greenhouse and get a few plants growing before he outlaws it.",2025-11-18,positive,0.24999999999999997
Greenhouse Effect,original,Frank Wunderlich-Pfeiffer,frankwunderli13.bsky.social,,"The funny thing about all this is that the mean rate of spontaneous emission should change very little. (It depends mostly on the time molecules spend in an excited state.)

And that's why 19th century physics is good enough to calculate the power of the greenhouse effect, but not temperature.",2025-11-18,positive,0.23359375
Greenhouse Effect,original,🅐🄽🅣🄷🅡🄰🅧 𝔤l҉𝔦t҉𝔱e҉𝔯b҉𝔬m҉𝔟,antraxglitterbomb.bsky.social,,"Nah fuck that. I hear the Russians got a probe to Venus once, took a lot of tries, and the probe sent information for like an hour before the runaway greenhouse effect acidic gasses rendered it inoperable..but I feel like they should enjoy the end stage of what they spurned on here on Earth.",2025-11-18,neutral,-0.033333333333333326
Greenhouse Effect,original,Frank Wunderlich-Pfeiffer,frankwunderli13.bsky.social,,"Climate scientists ignoring the opposite of the infrared absorption that causes the greenhouse effect in their models sounds like a conspiracy theory.

*This is real*

The effect of stimulated emission was discovered over 100 years ago. It leads to lower greenhouse effect and it's not in the models.",2025-11-17,neutral,0.1
Greenhouse Effect,original,Frank Wunderlich-Pfeiffer,frankwunderli13.bsky.social,,"Realizing that the greenhouse effect is calculated without any of the 20th century quantum physics that was invented *because* the energy transfer of light (including infrared!) was contradictory and made no sense without it, must have driven lots of scientists away from climate science.",2025-11-17,positive,0.25
Greenhouse Effect,original,Commercial Solar Guy,commercialsolarguy.com,,"'Tyndall first to measure infrared absorption & emission of various gases and vapors - ie greenhouse effect...showed effect due to very small proportion of atmosphere, main gases having no effect,...largely due to water vapor, though small percentages of hydrocarbons and CO2 had significant effect.'",2025-11-17,neutral,-0.004166666666666666
Greenhouse Effect,original,Commercial Solar Guy,commercialsolarguy.com,,"Two additional researchers:

Solar insolation 'estimate 1228 W/m2, vs current 1367 W/m2...developed/corrected Fourier's earth surface temperature estimate...developed first real mathematical treatment of the greenhouse effect...speculated water vapor and carbon dioxide might trap infrared radiation'",2025-11-17,neutral,0.08333333333333333
Greenhouse Effect,original,Eric Maugendre about emissions,data.yt,,"Enabling climate acceleration are economic sectors such as land use, China coal, Saudi Aramco, Coal India, Gazprom (Russia), National Iranian Oil — in that order.

Study: data.yt/projections/...

#China #coal #footprint #GHG #CO2 #carbon #economy #industry #energy #emissions #climateChange",2025-11-17,neutral,0.1
Greenhouse Effect,original,Mark Griffiths,markauthor.bsky.social,,"While pollution and the greenhouse effect kill off life on Earth, tech-bros plot to save themselves. Ben Elton’s brilliant autobiography sent me back to this, his first novel from 1989, and it’s eerily prescient.",2025-11-17,positive,0.3833333333333333
Greenhouse Effect,original,German Word of the Day,germanwordoftheday.bsky.social,,"der (Treibhaus)Effekt - (greenhouse) effect

Der Treibhauseffekt führt zu einer Erwärmung der Erdoberfläche und beeinflusst das Klima.

#deutsch #German #Languagelearning #Langsky #Edusky",2025-11-17,neutral,0.0
Greenhouse Effect,original,Commercial Solar Guy,commercialsolarguy.com,,"Sometime in the early 1900s 1901-1907, maybe earlier was the first phrasing that came to use ‘greenhouse’ or more specifically, greenhouse effect’.

Fourier’s experiments were using a glass box being heated by the sun, and holding said heat, so effectively a mini-greenhouse.",2025-11-16,positive,0.29
Greenhouse Effect,original,Christian Zauner,chrizau.bsky.social,,"... we are far from achieving universal, or even EU-wide, enjoyment of fundamental rights in many areas, due to the nature of the Greenhouse Effect aka Global Warming aka #ClimateEmergency and the other two parts of the #TriplePlanetaryCrisis, #Biodiversity collapse and pervasive #pollution, which",2025-11-16,neutral,0.05833333333333333
Greenhouse Effect,original,YARDCG,yardcg.bsky.social,,climateactiontracker.org/global/cat-t...,2025-11-15,neutral,0.0
Greenhouse Effect,original,"Jan Kirsch, M.D., M.P.H.",drjanicekirsch.bsky.social,,"She did!
Fourier in 1824 was the first to SUGGEST that the atmosphere acts like a blanket, trapping heat. He speculated that a similar ""greenhouse effect"" explained why the Earth is warmer than the Moon
But she did the elegant experiment.

You can read it here:
publicdomainreview.org/collection/f...",2025-11-15,positive,0.25
Greenhouse Effect,original,Next Net,nextnet.bsky.social,,"And… What portion of taxes is transportation for roads, police, subsidies for “free” parking?

Transportation is hidden in other categories for greenhouse gas emissions too. 

Cut Goods Transport Emissions to Topple Greenhouse Effect
youtu.be/YC116euj09Y",2025-11-15,neutral,0.03611111111111112
Greenhouse Effect,original,PhET Interactive Simulations,phetsims.bsky.social,,"Sims + STEAM = Success. Learn about the use of whole-class instructional strategies and digital “clickers” to ask #thought-provoking questions while using a simulation about the #greenhouse effect and climate change. #teacherPD #digitalClickers #eduSky
Register vz.to/4ht1YnG",2025-11-15,positive,0.2333333333333333
Greenhouse Effect,original,,shawnburks.bsky.social,,"You described the problem in your reply.
We rely on a relatively balanced input and output of heat to keep us in the range that is hospitable to humans.
Enough greenhouse effect and you get Venus.
Unless you think we're going to build some sort of orbital radiator eventually we'll cook.",2025-11-14,neutral,0.0
Greenhouse Effect,original,Doctor Rubato,doctorrubato.com,,"There's always a place to move heat. Earth is surrounded by near vacuum. Radiated heat goes into space. The problem with the ""greenhouse"" effect is that more and more of that energy being emitted into space is actually being ""reflected"" by greenhouse gases and being sent back to earth.",2025-11-14,positive,0.18194444444444446
Greenhouse Effect,original,🌊💙Woman Veteran ☮️ #VeteransResistanceSquadron,pamelaoplays.bsky.social,,"-

#WomenToRaveAbout

Inventor and scientist Eunice Foote discovered, characterized and described the greenhouse effect paving way for all climate science.  She was awarded several scientific patents for popular machines she invented.

🌊💙 ☮️  #PamelasWomenToRaveAbout

-

www.kent.edu/magazine/eun...",2025-11-14,positive,0.3
Greenhouse Effect,original,nic...                                                       ...,antagonic.bsky.social,,"oh they've all known. their own industry research showed the greenhouse effect was 1. real 2. deleterious and 3. almost definitely caused primarily by fossil fuel burning, all the way back in the 1970s",2025-11-14,positive,0.24000000000000005
Greenhouse Effect,original,Astronomy Bot,astronomybot.bsky.social,,"...ility. Factors like tidal locking to the planet and eclipses by the planet can significantly alter climate. Additionally, moons that orbit too close to their host planet may experience excessive tidal heating, leading to a runaway greenhouse effect that would render them uninhabitable. The mag...",2025-11-14,neutral,0.0625
Greenhouse Effect,original,Astronomy Bot,astronomybot.bsky.social,,"...road range of tolerance.
*   **Atmospheric Conditions:** A planet's atmosphere plays a significant role in regulating its surface temperature through the greenhouse effect. Sufficient atmospheric pressure is also needed to support liquid water.
*   **Essential Elements:** Life requires basic e...",2025-11-14,neutral,0.075
Greenhouse Effect,original,Greg,glberns.bsky.social,,"Science so elementary that it's an experiment that kids do all the time.

The Greenhouse Effect Experiment and Lesson for Kids share.google/dvkSe4Za07XY...",2025-11-14,positive,0.3
Greenhouse Effect,original,Abilu Tangwa.,abilutangwa.bsky.social,,CO2 is a greenhouse gas with a well-understood warming effect. The atmospheric CO2 level has risen from 280 ppm preindustrial to over 420 ppm today—consistent with fossil-fuel emissions and warming.,2025-11-13,neutral,0.0
Greenhouse Effect,original,Mons00n,mons00n.bsky.social,,"Its also not enough to stave off the worst of climate change tipping points being breached. I believe we are already locked in for tipping points into feedback loops even if we reached absolute 0 emissions today, solely due to the greenhouse gas lag effect.",2025-11-13,negative,-0.23125
Greenhouse Effect,original,Douglas E. Welch,douglaswelch.bsky.social,,"Palm House and Aloe Flowers, Adelaide Botanic Garden, Adelaide, Australia

welchwrite.com/blog/2025/11...

#view  #aloe #flowrs #succulents #cactus #architecture #palm #palmhouse #conservatory#greenhouse  #nature #garden #botanic #australia #travel #adelaide #photography",2025-11-12,neutral,0.0
Greenhouse Effect,original,PhytoFrontiers™,phytofrontiers.bsky.social,,"The infection process of Macrophomina phaseolina has not been studied on strawberry. Lindsey Pedroncelli, Peter M. Henry, and Alexander I. Putman explored if and where M. phaseolina can colonize strawberry plant tissues within 1 month of inoculation: https://doi.org/10.1094/PHYTOFR-02-25-0016-R",2025-11-12,neutral,0.0
Greenhouse Effect,original,,mpulskamp.bsky.social,,"The extremely potent greenhouse gas sulfur hexafluoride is used to clean the reactors used in silicon production. One ton of sulfur hexafluoride has a greenhouse effect equivalent to that of 25,000 tons of CO2.
It’s great to see reports that China’s CO2 emissions are flattening. 
Yay?",2025-11-12,positive,0.5555555555555556
Greenhouse Effect,original,Dr. Manhattan,donpbenz.bsky.social,,I agree. We were warned 30 years ago that we couldn’t exceed the 1.5 degree threshold and we have. Scientists note an accelerated rate of melting much higher than anticipated. We can prolong the greenhouse effect however sea rise and the warming of the planet cannot be stopped or reversed.,2025-11-11,positive,0.25
Greenhouse Effect,original,Gogopoet,gogopoet.bsky.social,,"A runaway greenhouse effect will turn Earth into another Venus. I doubt we'll be able to develop the technology, for that, fast enough.",2025-11-11,positive,0.2333333333333333
Greenhouse Effect,original,🇨🇦  Mike O'Doyle 🇨🇦,thetruemichael.bsky.social,,"For the atmosphere, and therefore the ice caps, it doesn't make 1 iota difference where the fuel came from.

Fuel from anywhere, burned anywhere on Earth, produces the exact same greenhouse effect.

(Not defending the stupidity of drilling Alaska - but it's no better to process Texas sweet)",2025-11-11,neutral,-0.05
Greenhouse Effect,original,Erin (News At Six 1986),newsatsix1986.bsky.social,,"They had an episode planned for Wednesday about the greenhouse effect and the environment, and Bill suggested they could push this forward to tonight, incorporating the oil slick. 

When Helen pulled Bill aside, he sensed she was not thrilled.

#TheNewsreader",2025-11-11,negative,-0.275
Greenhouse Effect,original,Frank Wunderlich-Pfeiffer,frankwunderli13.bsky.social,,"Most of all:

The Greenhouse Effect - and not only that - is a very compelling reason that we should really try not to double CO2 in our atmosphere and find something else instead.

Not because it's the end of the world. But because it's a really good idea and it could be quite a hassle otherwise.",2025-11-10,positive,0.29833333333333334
Greenhouse Effect,original,Frank Wunderlich-Pfeiffer,frankwunderli13.bsky.social,,And make no mistake. The Greenhouse effect is real. It absolutely is. But the rise in temperature caused by it is much lower and gets reduced down to the regular thermal emission of a black body with the average temperature of the earth surface.,2025-11-10,neutral,0.004629629629629632
Greenhouse Effect,original,Elio Campitelli,eliocamp.mastodon.social.ap.brid.gy,,@ketanjoshi.co That the warming effect of our greenhouse gasses is even worse than we thought and it will be revealed as we reduce pollution and improve air quality. So we need to do even more to reduce our emissions and get to net zero as fast as we can.,2025-11-10,neutral,0.075
Greenhouse Effect,original,Phoebe A. Xavier,phoebexavier.bsky.social,,No I do not concede that. Do you realize that we're in an Ice Age now and that all ice will be melted when that age ends; furthermore the Greenhouse effect is a vicious cycle that will push the temperature higher and higher until an event like volcano or asteroid blocks out the sun for years on end?,2025-11-09,negative,-0.16666666666666666
Greenhouse Effect,original,Frank Wunderlich-Pfeiffer,frankwunderli13.bsky.social,,"... and that those excited molecules could be subject to stimulated emission (Einstein, 1916).

The result is that the surface of the earth rather boringly acts like a black body in equilibrium with the vacuum of space when it gets heated up by the greenhouse effect (which is real!).",2025-11-09,negative,-0.11944444444444442
Greenhouse Effect,original,Frank Wunderlich-Pfeiffer,frankwunderli13.bsky.social,,"The article describes Arrhenius' theory of the greenhouse effect and says (correctly) that this is still the foundation used in climate models.

The trouble is, this requires the atmosphere to be at a constant temperature - but the objection to Maxwell's has always been, that the Demon would heat up",2025-11-09,neutral,-0.1
Greenhouse Effect,original,Frank Wunderlich-Pfeiffer,frankwunderli13.bsky.social,,"I never quite understood the process of the greenhouse effect until I read this article and figured out why. (This figure doesn't show IR passing through the ""atmospheric window"".)

The atmosphere is a Maxwell's Demon choosing which photons to let through and which not.
pubs.aip.org/aapt/ajp/art...",2025-11-09,neutral,0.0
Greenhouse Effect,original,Liberty View,libertyview.bsky.social,,"Currently, it feels like we're teetering on the edge of a Greater-than-Great Depression, or maybe a new Dark Ages. The Greenhouse Effect is in full swing, Ice Caps melting, Overpopulation, Collapse of Liberal Democracies, Nuclear Proliferation, NPP Flooding...

Interesting times ahead.",2025-11-09,positive,0.16727272727272727
Greenhouse Effect,original,Should Have Stayed at the Bus Station,shouldhavestayed.bsky.social,,"We couldn't beat the greenhouse effect anyway.
This secret group, you know, the group that's in charge of the government -
Oh, yeah. They're gonna get boosted off this rock before it melts.
And the rest of us, what do they care?
We're gonna be left here to fry.",2025-11-09,negative,-0.2
Greenhouse Effect,original,Should Have Stayed at the Bus Station,shouldhavestayed.bsky.social,,"You can ask yourself what they've been doing sitting on their ass for 49 years,
huh?
While we're out here with some serious social diseases and everything
else.
Oh, never mind that. Everybody says...
""Greenhouse effect. A hundred years from now.
Oh, I'll be long dead, gone and out of here.""",2025-11-09,negative,-0.1375
Greenhouse Effect,original,Should Have Stayed at the Bus Station,shouldhavestayed.bsky.social,,"It was May 22nd. That's a very important date for you to remember, pal.
— Yeah, that's my birthday.
— Right. So, see...
the reason we're up there covertly is because of the greenhouse effect.
It all ties in. Yeah, greenhouse effect.
By the way, they discovered that in the '40s.",2025-11-09,positive,0.40285714285714286
Greenhouse Effect,original,Nerd #7132,nerd7132.bsky.social,,"there are some laws to this effect but it's kinda cutting edge to have a green roof, biosolar roof, or greenhouse roof. we need to scale up proof of concepts to mass deployment",2025-11-08,negative,-0.4
Greenhouse Effect,original,Veg The Aging Hippie,vegematic.bsky.social,,"Suzuki has been warning us for 50 years. His ""The Nature of Things"" TV show which ran for decades on CBC was one of the first times I'd heard of the ""Greenhouse Effect"" back in the early 70s.",2025-11-08,positive,0.11666666666666665
Greenhouse Effect,original,Taylor Grayson,taylorgrayson.bsky.social,,"The revenue increase won't go to the poor and might even be offset by other tax reductions. Business jet aviation has negligible effect on greenhouse emissions, at best  0.16%. Hostility towards private jets is more a political attitude than a practical one.",2025-11-08,positive,0.1625
Greenhouse Effect,original,💧WOWBAGGER 🇵🇸 Israel Is Evil 🇵🇸,eschertology.bsky.social,,"In our case, Mars lost its magnetic field and its atmosphere was stripped by the solar wind, and Venus suffered some kind of impact that triggered a runaway greenhouse effect, and caused it to rotate in the opposite direction.  Had these events not occurred, we could have 3 inhabited planets",2025-11-08,positive,0.3
Greenhouse Effect,original,Tones,tones-muscio.bsky.social,,"Someone on the radio asked why the fact of the ""Human enhanced greenhouse effect"" had become so political. 

I can tell you, Vested interests chose a random side of politics,  the right, used the Tabaco playbook and astroturfing to propagandise the right.

It has being made political to stall change",2025-11-08,neutral,0.011904761904761899
Greenhouse Effect,original,swirlOsquirrel,swirlosquirrel.bsky.social,,"Heck, we didn’t have tine for the delays the Shrub regime caused, or stupid snowball displays by Congresscritters who don’t understand that you can’t reverse a runaway greenhouse effect once it’s truly rolling, you just turn into VENUS.",2025-11-08,negative,-0.7999999999999999
Greenhouse Effect,original,Dr. Jonathan Foley,globalecoguy.bsky.social,,"No, it is wildly wrong. It just combines the warming effect of greenhouse gases and the cooling effect of blocking the sun, which don’t nearly cancel each other out. That’s a simpleton’s approach, and ignores the fact the combination would wreck havoc with global weather patterns…",2025-11-07,negative,-0.13125
Greenhouse Effect,original,Detached Principle @Detached-principle.bsky.social ,detached-principle.bsky.social,,My suggestion is we had better get our shit together soon - cause there is a point in the near future where were not going to be able to stop this greenhouse effect,2025-11-07,positive,0.18
Greenhouse Effect,original,「 Timber Wolf Enjoyer」,poprygozhin.bsky.social,,"Twitter is hell.

Not as in ""it upset me and offends my senses"", god knows i couldn't give any less of a shit, but I genuinely think the algorithm and alt-right/MAGA created a greenhouse effect of pure, constant agitation.

Website is virtually unusable without a guide on how to avoid acid pits.",2025-11-06,neutral,0.04952380952380952
Greenhouse Effect,original,Douglas E. Welch,douglaswelch.bsky.social,,"Tropical Conservatory View, Sherman Library and Gardens, Corona del Mar, California

welchwrite.com/agn/2025/11/...

Join me on Pixelfed: pixelfed.social/p/douglaswel...

#tropical #conservatory #green #tropical #conservatory #plants #nature #outdoors #garden #gardening  #botanical #photography",2025-11-06,negative,-0.2
Greenhouse Effect,original,City Atlas,cityatlas.bsky.social,,"This film was made in 1973, and is set in 2022. Notable misses: there's no internet in the film, and NYC does not have 40M ppl. (On the upside, in the film there's no Covid.)
Notable hits: climate change and looming food & energy shortages.",2025-11-06,positive,0.5
Greenhouse Effect,original,Detached Principle @Detached-principle.bsky.social ,detached-principle.bsky.social,,The problem is that Climate Change is effectuated by man made carbon pollution and that were too stupid to understand the consequences of our own actions ....  The CO2 greenhouse effect is the equivalent of turning our planet into a giant pot of water & than slowly turning it up the heat to a boil,2025-11-06,negative,-0.125
Greenhouse Effect,original,Ecology Action Center,ecoactioncenter.bsky.social,,"Before you throw away that Halloween jack-o-lantern, consider composting! Pumpkins that end up in the landfill release a great deal of methane, a potent greenhouse gas that has a scary effect on the environment! Composting your pumpkin in your backyard compost is the best option! #TrashTipThursday",2025-11-06,positive,0.41875
Greenhouse Effect,original,Aaron Gray,aaronngray.bsky.social,,"@thunberggreta.bsky.social So our main problems are greenhouse gas emissions and habitat destruction. This is causing two things the imbalance of water vapour verses cloud and cloud types, and ice mass depletion. These two imbalances both effect the planets albedo, ...",2025-11-06,positive,0.16666666666666666
Greenhouse Effect,original,Aaron Gray,aaronngray.bsky.social,,"So our main problems are greenhouse gas emissions and habitat destruction. This is causing two things the imbalance of water vapour verses cloud and cloud types, and ice mass depletion. These two imbalances both effect the planets albedo, ...",2025-11-06,positive,0.16666666666666666
Greenhouse Effect,original,"Stable Isotope Ecology (CER, Kyoto Univ.)",stableisotopeecol.bsky.social,,Bacterial necromass-derived organic matter triggers greenhouse gas production and priming effect in saline lake sediments #stableisotopes  www.sciencedirect.com/science/arti...,2025-11-06,neutral,0.0
Greenhouse Effect,original,Peggy Sanders ,peggysanders.bsky.social,,"Royce Kurmelovs: “2024 study Cornell University found that effect on emissions from overbuilding gas would be profound. Because it takes gas to make gas, factoring in emissions created during processing and transport, study found the greenhouse gas footprint of LNG exports is 33% worse than coal.”",2025-11-06,negative,-0.15833333333333335
Greenhouse Effect,original,Drop Bear,drop-bear.bsky.social,,"Similar style. Similar voice (doesn't sound quite the same to me, but then it was seven decades ago). The focus of the shorts I remember was ""the greenhouse effect"".",2025-11-05,neutral,0.1
Greenhouse Effect,original,Foucault's Pudendum,kaitave.bsky.social,,,2025-11-05,neutral,0.0
Greenhouse Effect,original,Holly Andy Ivy,mancversusfood.bsky.social,,"These impacts have a compound effect of also increasing disruption due to weather patterns and also releasing more greenhouse gases (mostly methane, which is 30 times more powerful than CO2).",2025-11-05,positive,0.335
Greenhouse Effect,original,Go Green ,ecowarriorss.bsky.social,,"Clouds over Northeastern Pacific and Atlantic oceans, became nearly 3% less reflective per decade.
The cooling effect from particulate pollution masked warming from greenhouse gases for decades. Accelerated warming was a potential consequence of improving  air quality

phys.org/news/2025-11...",2025-11-05,neutral,-0.08333333333333333
Greenhouse Effect,original,Catsatira,catsatira.bsky.social,,"The headline is misleading. It is greenhouse gas emissions that have hastened global warming, not air-quality improvements. It's important to get that right. Other pollutants had a cooling effect, but greenhouse gases are the cause of warming. Two wrongs (GHGs+pollution) doesn't make a right.",2025-11-05,positive,0.1692857142857143
Greenhouse Effect,original,Awakari,bluesky.awakari.com,,"New York's All-Electric Act Goes Into Effect In 2026 - Here's Why It's Important While most of the United States focus on electric vehicles in their attempts to cut greenhouse gas emissions, New York is taking a different approach.

Interest | Match | Feed",2025-11-05,positive,0.23454545454545456
Greenhouse Effect,original,Malcolm Burtt #IStandWithUkraine #WokeAndProud,malcolmburtt.bsky.social,,Have they considered the greenhouse effect of the increased methane production?,2025-11-05,neutral,0.0
Greenhouse Effect,original,Bombs Warm Earth,bombswarmearth.bsky.social,,"BBC horizon
1988

Global Warming
Via the greenhouse effect
dn720002.ca.archive.org/0/items/BBCH...",2025-11-05,neutral,0.0
Greenhouse Effect,original,,seasoned-citizen.bsky.social,," Bush, ...consoled them: if elected, he would be the environmental president. He acknowledged the reality of intensifying heatwaves – the “greenhouse effect”, ...with blunt clarity: the burning of fossil fuels contributed ...leading to global warming.

www.theguardian.com/film/2025/no...",2025-11-04,neutral,0.0
Greenhouse Effect,original,"Madeleine Bonsma-Fisher, PhD",mbonsma.bsky.social,,"Stormwater retention, flood prevention, increased building efficiency, reduced emissions, reduced urban heat, job creation, habitat restoration? Who cares, my developer buddies think green roofs are annoying",2025-11-04,negative,-0.3333333333333333
Greenhouse Effect,original,Askme,askme99.bsky.social,,"In 1856, a woman sealed carbon dioxide in a glass jar, left it in the sun, and watched the thermometer climb far higher than in regular air. Her name was Eunice Newton Foote, and she had just discovered the basic principle of the greenhouse effect.",2025-11-04,neutral,0.06999999999999999
Greenhouse Effect,original,Third Act Upstate New York,thirdactupstateny.bsky.social,,"Now on Netflix, the documentary ""The White House Effect"" uses archival footage and documents to show how the George H. W. Bush administration changed course with regard to the Greenhouse Effect. The documentary examines how climate change evolved from a nonpartisan topic to a divisive issue.",2025-11-03,neutral,0.0
Greenhouse Effect,original,Frank Wunderlich-Pfeiffer,frankwunderli13.bsky.social,,"That still means finding proxies for earth albedo in 1950 - before any satellites - to know the effect of greenhouse gas concentrations, but even that is a much less daunting task than saying anything with any confidence about climate in 1850 whatsoever.",2025-11-03,negative,-0.16666666666666666
